item_no,task_id,domain,context,question,gold_standard,expert_verdict (VIOLATION/COMPLIANT),gold_standard_correct (Y/N),comments
11,TASK-REAL-GCP_DEVI-0670EF9C,gcp_deviation,Dr. Foltin's corrective action plan did not include sufficient details to address how they will prevent similar violations in the future. The plan did not include details about procedures being instituted or training provided to ensure compliance with FDA regulations governing clinical investigations.,What is required of a sponsor's corrective action plan after a regulatory violation?,"The sponsor must provide a corrective action plan that includes sufficient details to address how they will prevent similar violations in the future, including procedures and training to ensure compliance with FDA regulations.",,,
12,TASK-GMP_DEVIATION-42ECBB6A,gmp_deviation,"At NovaBio Inc., a batch of their new anticancer drug, NB-101, was initially deemed suspect due to an Out-of-Specification (OOS) result in the High-Performance Liquid Chromatography (HPLC) assay, which reported 95.2% purity instead of the specified 96.0% minimum. The batch consisted of 5000 vials, valued at $1 million. The HPLC system, a Waters Alliance e2695 model, had its calibration checked and verified three months prior by a certified third-party contractor, who also ran a system suitability test. The batch record review showed that the production staff followed the Standard Operating Procedure (SOP) for NB-101 manufacturing without deviations, and quality control (QC) analyst, Jane Smith, who is fully qualified and trained, performed the HPLC test. However, the electronic batch record system (EBRS), a GMP-compliant system running on a read-only mode for legacy reasons, contained a deviation log entry from three months ago related to a temperature excursion during storage of an unrelated batch. Notably, the investigation revealed that the temperature excursion was properly documented, investigated, and addressed at the time, with all corrective actions fully implemented and verified. The actual manufacturing process of the suspect batch occurred during a period when the facility was implementing a new manufacturing execution system (MES), but the production of NB-101 was not impacted since it was still using paper-based batch records for this specific product, as allowed by the transitional arrangement documented in their quality management system. The subtle issue was found in the timeline of events: QC analyst Jane Smith signed off on the batch record on February 15th at 4:00 PM, but the electronic approval system, which is supposed to automatically timestamp the approval, showed a timestamp of February 16th at 8:00 AM due to what was initially thought to be a delay in the system sync but was later discovered to be related to the analyst's clock setting on her workstation being a day ahead.","Given the circumstances, what is the primary reason that batch NB-101 of the anticancer drug should be rejected, in accordance with 21 CFR regulations?","The primary reason for rejecting batch NB-101 is the failure to ensure that electronic signatures are executed by the use of a secure, computer-generated, time-stamped audit trail, as required by 21 CFR 11.10(e) and 21 CFR 211.180(e), due to the discrepancy in the electronic approval timestamp. The Red Herring, the old deviation log entry in the EBRS, is not relevant to the current batch and was properly addressed. The key violation here involves the system-to-system data integrity gap related to the mismatch between the manual signing off by the analyst and the electronic record, which is critical for ensuring the integrity and reliability of the electronic batch record.",,,
13,TASK-PROMO_REVIEW-757242B8,promo_review,"On February 10, 2023, the marketing team at NovaBio Inc. launched a promotional campaign for their newly approved drug, Xylara, via a sponsored Instagram post. The post includes a patient testimonial, a brief summary of the drug's benefits, and a list of potential side effects in smaller font at the bottom. However, the post does not include the black box warning required for Xylara due to its increased risk of myocardial infarction. The post has garnered over 10,000 likes and 500 comments, with many users asking for more information on how to obtain the drug. NovaBio's regulatory affairs team, led by Senior Regulatory Specialist, Jane Smith, has been informed of the post's popularity and the potential compliance concerns.","Does the NovaBio Instagram post comply with the requirements for presenting risk information under 21 CFR 202.1, given that it includes a brief summary of side effects but omits the black box warning?","The post is non-compliant because, according to 21 CFR 202.1(e)(3)(ii), a black box warning is required in any promotional material where there is a serious risk associated with the drug, such as the increased risk of myocardial infarction associated with Xylara. The fact that the post includes a brief summary of side effects does not exempt it from including the black box warning, as the regulation specifically states that 'the brief summary required under paragraph (e)(1) of this section shall include...any warning...required for the drug...under section 505 of the act', which includes black box warnings.",,,
14,TASK-REAL-GMP_DEVI-E23A7B2A,gmp_deviation,"NovaBio Incorporated's quality control unit failed to exercise its responsibility to ensure drug products manufactured were in compliance with CGMP and met established specifications for identity, strength, quality, and purity. The unit did not ensure adequate procedures for investigation handling, quarantine products, complaint handling, change control, and stability failures.",What is the role of the quality control unit in ensuring compliance with CGMP regulations?,"21 CFR 211.22 requires the quality control unit to ensure drug products are in compliance with CGMP and meet established specifications for identity, strength, quality, and purity.",,,
15,TASK-REAL-GCP_DEVI-9B87C798,gcp_deviation,"Dr. Adarsh Daswani, a clinical investigator at NovaBio Inc., conducted a clinical investigation of an investigational drug. The protocol required randomized treatment to be administered and dose adjustments to be made by the Interactive Response Technology (IRT) system. However, Dr. Daswani failed to adhere to these requirements, resulting in missed and incorrect doses of randomized treatment for multiple subjects.",Is it compliant for a clinical investigator to fail to administer doses and make protocol-required dose adjustments as required by the protocol?,21 CFR 312.60 requires that the investigation be conducted according to the investigational plan. The clinical investigator's failure to administer doses and make dose adjustments as required by the protocol is a violation of this regulation.,,,
16,TASK-GCP_DEVIATION-659E503B,gcp_deviation,"At NovaBio Inc., a Phase III clinical trial for a novel oncology treatment was conducted using a customized electronic data capture (EDC) system, Medidata Rave 2019.2.0, with a legacy system, Oracle Clinical 4.0.6, running in read-only mode for data archives. On February 10, 2023, the principal investigator, Dr. Smith, retrospectively updated 15 subject records to reflect changes in concomitant medication use, which was done within the 30-day window allowed by the protocol. This update was prompted by a routine monitoring visit and was properly documented in the deviation log. However, the update was performed before obtaining IRB/IEC approval for the protocol amendment that included the revised concomitant medication list, which was eventually approved on March 1, 2023. Meanwhile, a separate deviation occurred on January 25, 2023, when an investigator-initiated change was made to the dose regimen for one subject due to an adverse event, and this change was properly reported to the IRB/IEC within 5 working days as required. The EDC system audit trail showed all changes, but there was a one-day delay in the system-to-system data transfer to the safety database due to a scheduled maintenance window, which was clearly communicated to all stakeholders in advance.","Is the retrospective update of subject records by the principal investigator on February 10, 2023, before obtaining IRB/IEC approval for the protocol amendment, a major protocol deviation requiring expedited reporting to regulatory authorities and the IRB/IEC, or is it a minor deviation that can be reported in a periodic summary?","The correct answer hinges on ICH E6(R2) §4.8.2 and 21 CFR 50.25(b)(3), which stipulate that deviations from the approved protocol that are not prospectively approved by the IRB/IEC but are necessary to eliminate immediate hazards to the subjects can be made, but significant changes must be reported expeditiously. The principal investigator's retrospective update without prior IRB/IEC approval for the protocol amendment constitutes a major deviation because it altered the protocol without prior review. The delay in system-to-system data transfer due to scheduled maintenance, though it might seem suspicious, is not the violation because it was properly communicated and did not affect the safety data reporting. The Red Herring, the legacy system running in read-only mode, is compliant as it is used for archival purposes only and all data updates are performed through the Medidata Rave system.",,,
17,TASK-GMP_DEVIATION-484DF7B9,gmp_deviation,"At NovaBio Inc., on February 10, 2023, a batch of 10,000 units of their new vaccine product, NVX-123, was manufactured and underwent testing. The batch passed all specifications, including sterility and potency tests, with results recorded in the Laboratory Information Management System (LIMS). However, during a subsequent review, it was discovered that the analyst who performed the testing, Jane Doe, had not completed her annual GMP training, which was due on January 15, 2023, and thus was not qualified to perform the analysis at the time of testing. The investigation revealed that Jane Doe had completed all necessary training for the specific tests she performed, but the GMP training is a company requirement for all personnel involved in testing, as per the NovaBio Inc. Quality Policy.","What should be the batch disposition decision for batch NVX-123-001, given the analyst's unqualified status at the time of testing?","The batch should be rejected, as per 21 CFR 211.25(a), which requires that personnel involved in the manufacture, processing, packing, or holding of a drug product have the education, training, and experience to perform their assigned functions, and 21 CFR 211.165(f), which states that the quality control unit shall have the responsibility for approving or rejecting all procedures or specifications impacting on the identity, strength, quality, and purity of the drug product. The lack of GMP training for the analyst constitutes a failure to comply with the GMP regulations, and therefore, the batch cannot be considered to be manufactured in compliance with the regulations.",,,
18,TASK-REAL-GMP_DEVI-14D7429C,gmp_deviation,"NovaBio Inc.'s quality control unit did not provide adequate oversight for the manufacture of their products. The firm could not provide records to support CGMP requirements for the manufacture of drugs, including finished product original release testing data and original stability testing data.","Is a quality control unit that does not provide adequate oversight for the manufacture of products, including lack of records for CGMP requirements, in compliance with regulations?","21 CFR 211.22(a) requires that the quality control unit have the responsibility and authority to approve or reject all components, drug product containers, closures, in-process materials, packaging materials, labeling, and drug products. A quality control unit that does not provide adequate oversight is a violation of this regulation.",,,
19,TASK-INFORMED_CONSENT-8F295480,informed_consent,"At NovaBio Inc., a Phase III clinical trial for a new oncology treatment (NBIO-123) uses a legacy Electronic Data Capture (EDC) system, Medidata Rave 2018.1.0, which has been properly validated but runs in read-only mode due to compatibility issues with newer software. The study started on January 10, 2022, and the initial informed consent form (ICF) was approved by the Institutional Review Board (IRB) on December 15, 2021. On February 20, 2023, a protocol amendment (version 1.2) was implemented, adding a non-invasive, one-time questionnaire to assess patient quality of life, which does not collect any identifiable information. The amendment also included changes to the statistical analysis plan. The study team, including Clinical Research Coordinator (CRC) Jane Smith, updated the ICF accordingly. However, due to a delay in receiving the updated ICF template from the contract research organization (CRO), the updated ICF was not finalized until March 10, 2023. In the meantime, five new patients (out of 200 total) were enrolled between February 22, 2023, and March 5, 2023, using the outdated ICF. The updated ICF was then used for all subsequent enrollments. The study's principal investigator (PI), Dr. John Lee, was aware of the delay but deemed it a minor issue since the changes did not affect the study's primary endpoints or patient safety. The study's data management team has been using a custom-built data analytics tool to track patient enrollment and ICF versions. There was a documented deviation log entry for the delay, which was properly reviewed and approved by the PI and the IRB. Notably, the legacy EDC system's read-only mode has been correctly configured to prevent any accidental changes to the study data, and it has been regularly audited to ensure compliance.","Does the enrollment of the five patients between February 22, 2023, and March 5, 2023, using the outdated ICF constitute a violation of FDA regulations, given the protocol amendment and the subsequent use of the updated ICF?","The correct answer is yes, this constitutes a violation of 21 CFR 50.25 and 45 CFR 46.116, which require that informed consent be obtained using an IRB-approved ICF. Although the changes to the protocol did not necessarily require re-consent under certain conditions (e.g., 45 CFR 46.116 waiver criteria for non-expert reviewers), the failure to use the updated ICF for five patients after the IRB approval of the amended protocol is the compliance gap. The Red Herring, the legacy EDC system running in read-only mode, is actually compliant as it has been properly validated and configured to prevent data changes, and its use does not impact the ICF process. The delay in receiving the updated ICF template and the subsequent use of the outdated ICF for new enrollments during this period are the subtle procedural lapses that constitute the violation, as they directly pertain to the regulatory requirement for informed consent.",,,
20,TASK-GCP_DEVIATION-6D4368AF,gcp_deviation,"At NovaBio Inc., a Phase III clinical trial for a new oncology drug involved 500 patients across 20 sites. On February 10, 2023, the sponsor became aware that 5 patients at one site had received a slightly higher dose of the investigational product (IP) than specified in the protocol (10mg instead of 9mg) due to a miscommunication between the site staff and the sponsor's clinical research associate (CRA). The protocol included a pre-approved exception for dose escalations up to 10% above the specified dose for patients not responding to treatment, but this was not the case for these 5 patients. The site's IRB/IEC had approved the protocol with this exception on January 15, 2023. NovaBio's quality assurance (QA) department identified this deviation during a routine monitoring visit on March 1, 2023.","Is this deviation considered a significant protocol deviation that must be reported to the IRB/IEC and regulatory authorities, despite the dose escalation being within the 10% pre-approved exception threshold?","According to ICH E6(R2) §4.8.2 and 21 CFR 50.25(b)(3), this deviation is indeed significant and must be reported because it was not a pre-planned, protocol-specified dose escalation, even though it falls within the 10% threshold. The key obligation is that any deviation from the protocol that is not pre-approved must be reported, regardless of its perceived clinical significance or whether it falls under a threshold that might seem minor (ICH E6(R2) §4.8.1, 21 CFR 56.108(a)).",,,
21,TASK-21CFR11-D37FD870,21cfr11,"At NovaBio Inc., the quality assurance team utilizes the eQMS system (version 4.2) for electronic record-keeping and signatures. Recently, during a routine audit, it was noticed that the eQMS system's audit trails are generated and time-stamped, but there is a concern regarding the periodic review of these trails as per the standard operating procedure (SOP) 'EQMS_Audit_Trail_Review' which requires review only when a deviation occurs. In contrast, the company's electronic lab notebook system (ELN), running on a legacy platform, has been kept in read-only mode since 2020, strictly as per FDA guidance for archiving electronic records, which appears suspicious to the auditor due to its age and read-only status. However, the ELN is properly validated and maintained, with all data migration completed to the eQMS system in 2020. The eQMS audit trails capture user IDs, timestamps, and the reason for changes but do not capture system-initiated changes, such as when the system automatically updates user access levels due to a change in job roles. Meanwhile, a recent update to the eQMS system introduced a delayed timestamp feature for audit trail entries, which adds a 5-minute delay to all audit trail entries to account for synchronization across different system components, a feature that was thoroughly validated and documented as compliant with electronic signature requirements.","Is NovaBio Inc.'s current practice regarding audit trails for electronic records compliant with the requirements of 21 CFR Part 11, specifically regarding the review of audit trails and the capture of all relevant metadata, or is there a gap that needs to be addressed?","The correct answer hinges on 21 CFR 11.10(e), which requires that audit trails be generated, reviewed, and complete, capturing all changes, including system-initiated changes. The gap in NovaBio's practice is the lack of capture of system-initiated changes and the absence of periodic review of audit trails as mandated. The legacy ELN system in read-only mode is compliant as it is properly archived and validated. The delayed timestamp feature, although appearing suspicious, is permitted as it was validated to ensure compliance with electronic signature requirements. Thus, the compliance requirement under 21 CFR 11.10(e) is not met due to the procedural lapse in audit trail review and metadata capture, not the use of the legacy ELN system or the delayed timestamp feature.",,,
22,TASK-PROMO_REVIEW-2CDDE6AE,promo_review,"At NovaBio Inc., the marketing team launched a promotional campaign for their new drug, Xylophene, on February 10, 2023. The campaign includes a television ad and a corresponding print ad in a medical journal, both of which mention the drug's efficacy in treating a specific type of cancer. The TV ad is 60 seconds long and dedicates 20 seconds to benefits and 15 seconds to risks, while the print ad is a full-page spread with a benefits section spanning half the page and a risks section spanning a quarter page. The company's regulatory affairs specialist, Rachel Lee, reviewed the ads and approved them, noting that both include a fair balance of benefits and risks. However, the TV ad mentions a serious but rare side effect in a quick voiceover at the end, while the print ad provides a detailed description of the same side effect in a smaller font at the bottom of the page. NovaBio Inc. received 500,000 impressions on the TV ad and 200,000 print ad circulations within the first week.","Does the Xylophene promotional campaign comply with the fair balance requirement under 21 CFR 202.1(e)(1), given the presentation of benefits and risks in the TV and print ads?","The campaign does not comply with the fair balance requirement because, according to 21 CFR 202.1(e)(3)(ii), if a television ad includes a brief summary, it must be 'adequate and reasonably concurrent with' the presentation of benefits, which is not the case here, as the risks are presented in a quick voiceover at the end of the ad.",,,
